Name,Sales_in_millions,Release,Genre,Developer,Publisher
PlayerUnknown's Battlegrounds,42,17-Dec,Battle royale,PUBG Studios,Krafton
Minecraft,33,11-Nov,"Sandbox, survival",Mojang Studios,Mojang Studios
Diablo III,20,12-May,Action role-playing,Blizzard Entertainment,Blizzard Entertainment
Garry's Mod,20,6-Nov,Sandbox,Facepunch Studios,Valve
Terraria,17.2,11-May,Action-adventure,Re-Logic,Re-Logic
World of Warcraft,14,4-Nov,MMORPG,Blizzard Entertainment,Blizzard Entertainment
Half-Life 2,12,4-Nov,First-person shooter,Valve,Valve (digital)
The Witcher 3: Wild Hunt,12,15-May,Action role-playing,CD Projekt Red,CD Projekt
StarCraft,11,Mar-98,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
The Sims,11,Feb-00,Life simulation,Maxis,Electronic Arts
Fall Guys,10,20-Aug,Battle royale,Mediatonic,Devolver Digital
RollerCoaster Tycoon 3,10,4-Oct,Construction and management simulation,Frontier Developments,"Atari, Inc. (Windows)"
Half-Life,9,Nov-98,First-person shooter,Valve,Sierra Entertainment
Rust,9,18-Feb,Survival,Facepunch Studios,Facepunch Studios
Civilization V,8,10-Sep,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
The Sims 3,7,9-Jun,Life simulation,Maxis,Electronic Arts
Euro Truck Simulator 2,6.5,12-Oct,Vehicle simulation,SCS Software,SCS Software
Guild Wars,6,5-Apr,MMORPG,ArenaNet,NCsoft
StarCraft II: Wings of Liberty,6,10-Jul,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
The Sims 2,6,4-Sep,Life simulation,Maxis,Electronic Arts
Valheim,6,21-Feb,Survival,Iron Gate,Coffee Stain Publishing
ARMA 3,5.5,13-Sep,Tactical shooter,Bohemia Interactive,Bohemia Interactive
Last Ninja 2,5.5,Aug-88,Action-adventure,System 3,Activision
Cities: Skylines,5,15-Mar,City-building,Colossal Order,Paradox Interactive
Guild Wars 2,5,12-Aug,MMORPG,ArenaNet,NCsoft
SimCity 3000,5,Jan-99,City-building,Maxis,Electronic Arts
The Forest,5,18-Apr,Survival,Endnight Games,Endnight Games
Cyberpunk 2077,4.5,20-Dec,Action role-playing,CD Projekt Red,CD Projekt
DayZ,4,13-Dec,Survival,Bohemia Interactive,Bohemia Interactive
Diablo II,4,Jun-00,Action role-playing,Blizzard North,Blizzard Entertainment
Populous,4,Jun-89,God game,Bullfrog Productions,Electronic Arts
RollerCoaster Tycoon,4,Mar-99,Construction and management simulation,Chris Sawyer,MicroProse Software
The Last Ninja,4,5-Jun,Action-adventure,System 3,Activision
"Warhammer 40,000: Dawn of War (including expansions)",4,4-Sep,Real-time strategy,Relic Entertainment,THQ
Where in the World Is Carmen Sandiego?,4,Jun-85,Educational,Broderbund,Broderbund
Dark Souls,3.6,12-Aug,Action role-playing,FromSoftware,Namco Bandai Games
Dark Souls III,3.3,16-Apr,Action role-playing,FromSoftware,Bandai Namco Entertainment
Age of Empires,3,Oct-97,Real-time strategy,Ensemble Studios,Microsoft
Civilization IV,3,5-Oct,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
Command & Conquer,3,Aug-95,Real-time strategy,Westwood Studios,Virgin Interactive
Command & Conquer: Red Alert,3,Oct-96,Real-time strategy,Westwood Studios,Virgin Interactive
Crysis,3,7-Nov,First-person shooter,Crytek,Electronic Arts
EverQuest,3,Mar-99,MMORPG,Verant Interactive,Sony Online Entertainment
Life Is Strange,3,15-Jan,Graphic adventure,Dontnod Entertainment,Square Enix
Theme Park,3,5-Jun,Construction and management simulation,Bullfrog Productions,Electronic Arts
Warcraft III: Reign of Chaos,3,2-Jul,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment (North America)
Dark Souls II,2.7,14-Apr,Action role-playing,FromSoftware,Bandai Namco Games
Caesar II,2.5,Sep-95,City-building game,Impressions Game,Sierra On-Line
Caesar III,2.5,May-99,City-building game,Impressions Game,Sierra Studios
Factorio,2.5,16-Feb,Construction and management simulation,Wube Software,Wube Software
Lords of the Realm II,2.5,Oct-96,Turn-based strategy,Impressions Game,Impressions Game
Myst,2.5,Sep-93,"Adventure, puzzle",Cyan,Brøderbund
Final Fantasy VII,2.1,Jun-98,Role-playing game,Square,Eidos Interactive
7 Days to Die,2,16-Jun,Survival horror,The Fun Pimps,The Fun Pimps
Age of Empires II: The Age of Kings,2,Sep-99,Real-time strategy,Ensemble Studios,Microsoft
Age of Empires III,2,5-Oct,Real-time strategy,Ensemble Studios,Microsoft
Anno 1503,2,3-Mar,City-building,Max Design,Sunflowers
Anno 1602,2,Sep-98,City-building,Max Design,Sunflowers
Baldur's Gate,2,Dec-98,Role-playing game,BioWare,Interplay Entertainment
Baldur's Gate II: Shadows of Amn,2,Sep-00,Computer role-playing game,BioWare,Interplay Entertainment
Battlefield 1942,2,2-Sep,First-person shooter,EA DICE,Electronic Arts
Black & White,2,1-Mar,God game,Lionhead Studios,EA Games
Civilization III,2,1-Oct,"Turn-based strategy, 4X",Firaxis Games,Infogrames
Cossacks II: Napoleonic Wars,2,5-Apr,Real-time strategy,GSC Game World,CDV Software
Counter-Strike: Condition Zero,2,4-Mar,First-person shooter,Valve,Valve (digital)
Counter-Strike: Source,2,4-Nov,First-person shooter,Valve,Electronic Arts (retail)
Diablo,2,Dec-96,Action role-playing,Blizzard North,Blizzard Entertainment (North America)
Doom,2,Dec-93,First-person shooter,id Software,id Software
Doom II: Hell on Earth,2,Sep-94,First-person shooter,id Software,GT Interactive
Far Cry,2,4-Mar,First-person shooter,Crytek,Ubisoft
Grand Theft Auto V,2,15-Apr,Action-adventure,Rockstar North,Rockstar Games
Mafia: The City of Lost Heaven,2,2-Aug,Third-person shooter,Illusion Softworks,Gathering of Developers
Magicka,2,11-Jan,Action-adventure,Arrowhead Game Studios,Paradox Interactive
Neverwinter Nights,2,2-Jun,Role-playing game,BioWare,Infogrames / Atari
Planet Coaster,2,16-Nov,Construction and management simulation,Frontier Developments,Frontier Developments
POD,2,Feb-97,Racing game,Ubisoft,Ubisoft
SimCity,2,13-Mar,City-building,Electronic Arts,Electronic Arts
SimCity 4,2,3-Jan,City-building,Maxis,Electronic Arts (Windows)
Space Engineers,2,13-Oct,Simulation,Keen Software House,Keen Software House
Spore,2,8-Sep,God game,Maxis,Electronic Arts
Stickfight: The Game,2,17-Sep,Fighting,Landfall Games,Landfall Games
Stronghold: Crusader,2,2-Jul,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers
The Binding of Isaac,2,11-Sep,"Action-adventure, roguelike",Edmund McMillen & Florian Himsl,Headup Games
The Witcher,2,7-Oct,Action role-playing,CD Projekt Red,"Atari, Inc"
The Witcher 2: Assassins of Kings,2,11-May,Action role-playing,CD Projekt Red,CD Projekt
Warcraft II: Tides of Darkness,2,Dec-95,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
Metal Gear Solid V: The Phantom Pain,1.8,15-Sep,"Action-adventure, stealth",Kojima Productions,Konami
American Truck Simulator,1.5,12-Oct,Vehicle simulation,SCS Software,SCS Software
International Karate,1.5,Nov-85,Fighting,System 3,Epyx
Sega Mega Drive and Genesis Classics,1.5,10-Jun,Compilation,Sega,Sega
Stellaris,1.5,16-May,"RTS, 4X, Grand Strategy",Paradox Development Studio,Paradox Interactive
Resident Evil 6,1.3,13-Mar,"Third-person shooter, survival horror",Capcom,Capcom
Satisfactory,1.3,19-Mar,Construction and management simulation,Coffee Stain Studios,Coffee Stain Publishing
Ultra Street Fighter IV,1.3,9-Jul,Fighting,Capcom,Capcom
Nier: Automata,1.2,17-Mar,"Action role-playing, hack and slash",PlatinumGames,Square Enix
Resident Evil 4: Ultimate HD Edition,1.2,14-Feb,"Third-person shooter, survival horror",Capcom,Capcom
Kingdom Come: Deliverance,1.1,18-Feb,Action role-playing game,Warhorse Studios,Warhorse Studios
Pac-Man Championship Edition DX+,1.1,13-Sep,"Maze, arcade",Namco Bandai Games,Namco Bandai Games
Age of Mythology,1,2-Oct,Real-time strategy,Ensemble Studios,Microsoft
American McGee's Alice,1,Oct-00,"Action-adventure, platformer",Rogue Entertainment,Electronic Arts
Ark: Survival Evolved,1,15-Jun,"Action-adventure, Survival",Studio Wildcard,Studio Wildcard
Battlefield Vietnam,1,4-Mar,First-person shooter,EA DICE,Electronic Arts
BioShock,1,7-Aug,First-person shooter,Irrational Games,2K Games
Blade Runner,1,Nov-97,Point-and-click,Westwood Studios,Virgin Interactive
Civilization II,1,Feb-96,"Turn-based strategy, 4X",MicroProse,MicroProse
Command & Conquer 3: Tiberium Wars,1,7-Mar,Real-time strategy,EA Los Angeles,Electronic Arts
Command & Conquer: Red Alert 2,1,Oct-00,Real-time strategy,Westwood Pacific,Electronic Arts
Command & Conquer: Tiberian Sun,1,Aug-99,Real-time strategy,Westwood Studios,Electronic Arts
Commandos: Behind Enemy Lines,1,Jun-98,Real-time tactics,Pyro Studios,Eidos Interactive
Crusader Kings II,1,12-Feb,Grand strategy,Paradox Development Studio,Paradox Interactive
Crusader Kings III,1,20-Sep,Grand strategy,Paradox Development Studio,Paradox Interactive
Crysis Warhead,1,8-Sep,First-person shooter,Crytek Budapest,Electronic Arts
Cuphead,1,17-Sep,Run and gun,StudioMDHR,StudioMDHR
Danganronpa 2: Goodbye Despair,1,16-Apr,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
Danganronpa: Trigger Happy Havoc,1,16-Feb,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
Daryl F. Gates' Police Quest: SWAT,1,Sep-95,Interactive movie,Sierra Online,Sierra Online
Deer Hunter,1,Nov-97,Sports,Sunstorm Interactive,WizardWorks
Divinity: Original Sin II,1,17-Sep,Role-playing game,Larian Studios,Larian Studios
Duke Nukem 3D,1,Jan-96,First-person shooter,3D Realms,GT Interactive Software
Dungeon Lords,1,5-May,Role-playing game,Heuristic Park,DreamCatcher Interactive
Dungeon Siege,1,2-Apr,Role-playing game,Gas Powered Games,Microsoft Game Studios
Empire Earth,1,1-Nov,Real-time strategy,Stainless Steel Studios,Sierra Entertainment
Europa Universalis IV,1,13-Aug,Grand strategy,Paradox Development Studio,Paradox Interactive
Frogger,1,Nov-97,Action,SCE Cambridge Studio,Hasbro Interactive
Full Throttle,1,Apr-95,Graphic adventure,LucasArts,LucasArts
Glory of the Roman Empire,1,6-Jun,City-building game,Haemimont Games,CDV Software
Grand Prix 2,1,Aug-96,Sim racing,MicroProse,MicroProse
Harry Potter and the Philosopher's Stone,1,1-Nov,Action-adventure,KnowWonder,Electronic Arts
Hearts of Iron IV,1,16-Jun,"Real-time strategy, grand strategy wargame",Paradox Development Studio,Paradox Interactive
Hidden & Dangerous,1,Jul-99,Action,Illusion Softworks,Take-Two Interactive
Hidden & Dangerous 2,1,3-Oct,Action,Illusion Softworks,Take-Two Interactive
Hollow Knight,1,17-Feb,Metroidvania,Team Cherry,Team Cherry
Hotel Giant,1,2-May,Business simulation,Enlight Software,JoWood Productions
Hydlide,1,Dec-84,Action role-playing,Technology and Entertainment Software,Technology and Entertainment Software
Imperivm: Great Battles of Rome,1,5-May,Real-time strategy,Haemimont Games,FX Interactive
Just Survive[e],1,15-Jan,Survival,Daybreak Game Company,Daybreak Game Company
Killing Floor,1,9-May,First-person shooter,Tripwire Interactive,Tripwire Interactive
Machinarium,1,9-Oct,"Graphic adventure, puzzle",Amanita Design,Amanita Design
Microsoft Flight Simulator X,1,6-Oct,Amateur flight simulation,Microsoft Game Studios,Microsoft Game Studios
Mordhau,1,19-Apr,Action,Triternion,Triternion
Operation Flashpoint: Cold War Crisis,1,1-Jun,Tactical shooter,Bohemia Interactive Studio,Codemasters
Patrician III: Rise of the Hanse,1,3-Oct,Business simulation,Ascaron,Encore
Phantasmagoria,1,Jul-95,Interactive movie,Sierra Online,Sierra Online
Prison Architect,1,12-Sep,Construction and management simulation,Introversion Software,Introversion Software
Psychonauts,1,5-Apr,Platform,Double Fine Productions,THQ
Quake,1,Jun-96,First-person shooter,id Software,GT Interactive
Quake II,1,Dec-97,First-person shooter,id Software,Activision
Railroad Tycoon II,1,Nov-98,Construction and management simulation,PopTop Software,Gathering of Developers
Resident Evil 5,1,9-Sep,"Third-person shooter, survival horror",Capcom,Capcom
Return to Castle Wolfenstein,1,1-Nov,First-person shooter,Gray Matter Interactive,Activision
Return to Zork,1,Aug-93,Adventure,Infocom,Activision
RoboCop,1,Dec-88,"Beat 'em up, run-and-gun",Data East,"Data East, Ocean Software"
Rome: Total War,1,4-Sep,Real-time strategy,The Creative Assembly,Activision
Runaway: A Road Adventure,1,1-Jul,Adventure,"Péndulo Studios, S.L.",Dinamic Multimedia
Sacred,1,4-Mar,Action role-playing,Ascaron,Encore
Star Wars Galaxies,1,3-Jun,MMORPG,Sony Online Entertainment,LucasArts
Star Wars: Rebel Assault,1,Nov-93,Rail shooter,LucasArts,LucasArts
StarCraft II: Heart of the Swarm,1,13-Mar,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
StarCraft II: Legacy of the Void,1,15-Nov,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
Stardew Valley,1,16-Feb,"Simulation, role-playing game",ConcernedApe,ConcernedApe[f]
Stronghold,1,1-Oct,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers
Supreme Commander,1,7-Feb,Real-time strategy,Gas Powered Games,THQ
Tetris,1,Jan-88,Puzzle,Spectrum HoloByte,Spectrum HoloByte
The Legend of Sword and Fairy 3,1,3-Jul,Role-playing game,Softstar Entertainment,Softstar Entertainment
The Legend of Sword and Fairy 5,1,11-Jul,Role-playing game,Softstar,Softstar
The Stanley Parable,1,13-Oct,Interactive fiction,Galactic Cafe,Galactic Cafe
Total Annihilation,1,Sep-97,Real-time strategy,Cavedog Entertainment,GT Interactive
Tropico,1,1-Apr,Construction and management simulation,PopTop Software,Gathering of Developers
Unreal,1,May-98,First-person shooter,Epic Games,GT Interactive
Unreal Tournament,1,Nov-99,First-person shooter,Epic Games,GT Interactive
Vietcong,1,3-Mar,Tactical shooter,Pterodon,Gathering of Developers
Warhammer Online: Age of Reckoning,1,8-Sep,MMORPG,Mythic Entertainment,Electronic Arts
Who Wants to Be a Millionaire?,1,Nov-99,Trivia game,Jellyvision,Disney Interactive Studios
Wing Commander 3: Heart of the Tiger,1,Dec-94,Space combat simulation,Origin Systems,Electronic Arts
Zoo Tycoon,1,1-Oct,Business simulation,Microsoft,Blue Fang Games
